Sample	Concentration	Type	Group	 Total_QC_reads 	 Total_QC_Deduped_reads 	Total_Nonhost_reads 	Total_Mh_Extracted_reads 	GSV_counts
BRD.241F_S47_L001	F	TE	TE Double-capture (Half)	295450232	32753198	27805258	847109	706228.63
BRD.241R_S46_L001	R	TE	TE Double-capture (Half)	139216595	21555997	17497452	470112	408667.81
BRD.242R_S59_L001	R	TE	TE Double-capture (Half)	40491376	3526813	2984681	86756	72622.42
BRD.245R_S43_L001	R	TE	TE Double-capture (Half)	264610205	35956327	29729983	830035	723094.47
BRD.251R_S48_L001	R	TE	TE Double-capture (Half)	54429801	7987319	6454143	191718	166792.16
BRD.271F_S56_L001	F	TE	TE Double-capture (Half)	35436452	3674885	2995942	108666	88056.41
BRD.271R_S55_L001	R	TE	TE Double-capture (Half)	36567536	3601365	3056217	92694	76767.15
BRD.272F_S38_L001	F	TE	TE Double-capture (Half)	143222961	18841345	15943198	509101	424690.31
BRD.272R_S37_L001	R	TE	TE Double-capture (Half)	78450434	23808190	18080398	486635	436129.62
BRD.278F_S58_L001	F	TE	TE Double-capture (Half)	33033943	3257873	2645948	102940	83334.93
BRD.278R_S57_L001	R	TE	TE Double-capture (Half)	40501687	3791428	3207914	93811	79139.04
BRD.279R_S42_L001	R	TE	TE Double-capture (Half)	58047553	13668868	10300368	290455	258472.4
BRD.281F_S45_L001	F	TE	TE Double-capture (Half)	44025142	4355916	3685856	138339	111932.4
BRD.281R_S44_L001	R	TE	TE Double-capture (Half)	42663539	4986380	4151200	124013	106513.09
BRD.299R_S53_L001	R	TE	TE Double-capture (Half)	39656856	4094638	3458898	100038	84777.4
BRD.302F_S52_L001	F	TE	TE Double-capture (Half)	40116572	4617734	3872898	118129	96398.49
BRD.302R_S51_L001	R	TE	TE Double-capture (Half)	48518458	6128677	5152966	132505	112700.41
BRD.306R_S54_L001	R	TE	TE Double-capture (Half)	77533626	8758299	7444382	188081	158825.97
BRD.307R_S41_L001	R	TE	TE Double-capture (Half)	444886396	53578822	45333585	1049743	883309.78
BRD.332F_S65_L001	F	TE	TE Double-capture (Half)	20891192	1394491	1007231	8332	4628.54
BRD.332R_S64_L001	R	TE	TE Double-capture (Half)	25830274	1682599	1368478	6594	3819.22
BRD.335F_S62_L001	F	TE	TE Double-capture (Half)	56645068	5551286	4724932	63944	41895.2
BRD.335R_S63_L001	R	TE	TE Double-capture (Half)	65163555	5043932	4330892	41830	17450.39
BRD.342R_S61_L001	R	TE	TE Double-capture (Half)	27187343	2123316	1740993	39449	26831.58
BRD.347R_S60_L001	R	TE	TE Double-capture (Half)	10137169	813776	496077	14266	9908.48
BRD.349F_S50_L001	F	TE	TE Double-capture (Half)	37315177	4747427	3894939	116752	96839.22
BRD.349R_S49_L001	R	TE	TE Double-capture (Half)	107594609	12801864	10790291	252434	210621.95
BRD.360F_S40_L001	F	TE	TE Double-capture (Half)	53620621	6598653	5536714	180452	149619.82
BRD.360R_S39_L001	R	TE	TE Double-capture (Half)	81778238	11947651	9949660	261395	224897.56
BRD-241-shotgun_S15		shotgun	Shotgun	191867489	152297035	348077	1175	667.46
BRD-242-shotgun_S5		shotgun	Shotgun	262129997	195573860	542372	12	0
BRD-245-shotgun_S20		shotgun	Shotgun	276093358	209949497	461316	1685	1011.03
BRD-251-shotgun_S8		shotgun	Shotgun	252111324	193188487	473287	463	0
BRD-271-shotgun_S6		shotgun	Shotgun	219330668	169682702	626426	19	0
BRD-278-shotgun_S10		shotgun	Shotgun	212420125	171194702	310157	14	0
BRD-279-shotgun_S2		shotgun	Shotgun	218763794	169810123	467710	2843	2165.45
BRD-281-shotgun_S24		shotgun	Shotgun	191867314	153619387	203338	74	0
BRD-299-shotgun_S11		shotgun	Shotgun	212600617	167428369	231342	34	0
BRD-302-shotgun_S22		shotgun	Shotgun	189376288	149561054	224470	80	0
BRD-306-shotgun_S17		shotgun	Shotgun	201399696	155095005	237146	35	0
BRD-307-shotgun_S19		shotgun	Shotgun	222106772	173493032	377500	1103	560.89
BRD-332-shotgun_S1		shotgun	Shotgun	207478581	160795522	281625	1	0
BRD-335-shotgun_S14		shotgun	Shotgun	210908191	164646596	274020	15	0
BRD-342-shotgun_S16		shotgun	Shotgun	214012135	171017306	446109	12	0
BRD-347-shotgun_S4		shotgun	Shotgun	207803642	166748063	296050	1	0
BRD-349-shotgun_S3		shotgun	Shotgun	228400979	179654333	428315	279	0
BRD-360-shotgun_S18		shotgun	Shotgun	183267443	141839367	213126	318	11.14
BRD-272-shotgun_S21		shotgun	Shotgun	223894344	172945104	367660	4297	0
